spatial id,temporal id,Target (normal),Normal target,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
2,91,0.0,0.0,1,1,1,1,1
5,91,1.0,1.0,0,1,0,1,0
6,91,1.0,1.0,1,1,0,0,1
1,92,1.0,1.0,1,0,0,0,0
2,92,1.0,1.0,1,1,1,1,1
5,92,0.0,0.0,1,0,1,0,0
6,92,1.0,1.0,1,0,0,1,1
1,93,1.0,1.0,0,0,0,0,0
2,93,1.0,1.0,1,1,1,1,0
5,93,0.0,0.0,0,1,0,0,1
6,93,1.0,1.0,0,0,1,1,1
1,94,1.0,1.0,0,0,0,0,1
2,94,0.0,0.0,1,1,1,0,1
5,94,1.0,1.0,1,0,0,1,0
6,94,1.0,1.0,0,1,1,1,1
1,95,0.0,0.0,0,0,0,1,1
2,95,1.0,1.0,1,1,0,1,1
5,95,0.0,0.0,0,0,1,0,0
6,95,0.0,0.0,1,1,1,1,1
1,96,1.0,1.0,0,0,1,1,1
2,96,1.0,1.0,1,0,1,1,0
5,96,1.0,1.0,0,1,0,0,1
6,96,1.0,1.0,1,1,1,1,1
1,97,0.0,0.0,0,1,1,1,0
2,97,0.0,0.0,0,1,1,0,1
5,97,0.0,0.0,1,0,0,1,0
6,97,1.0,1.0,1,1,1,1,0
1,98,1.0,1.0,1,1,1,0,1
2,98,1.0,1.0,1,1,0,1,1
5,98,1.0,1.0,0,0,1,0,1
6,98,1.0,1.0,1,1,1,0,1
1,99,1.0,1.0,1,1,0,1,0
2,99,1.0,1.0,1,0,1,1,0
5,99,1.0,1.0,0,1,0,1,0
6,99,1.0,1.0,1,1,0,1,1
1,100,1.0,1.0,1,0,1,0,1
2,100,1.0,1.0,0,1,1,0,1
5,100,1.0,1.0,1,0,1,0,1
6,100,1.0,1.0,1,0,1,1,1
1,101,0.0,0.0,0,1,0,1,1
2,101,1.0,1.0,1,1,0,1,1
5,101,0.0,0.0,0,1,0,1,1
6,101,1.0,1.0,0,1,1,1,1
1,102,1.0,1.0,1,0,1,1,1
2,102,1.0,1.0,1,0,1,1,1
5,102,1.0,1.0,1,0,1,1,1
6,102,1.0,1.0,1,1,1,1,1
1,103,0.0,0.0,0,1,1,1,0
2,103,1.0,1.0,0,1,1,1,1
5,103,0.0,0.0,0,1,1,1,0
6,103,1.0,1.0,1,1,1,1,1
1,104,0.0,0.0,1,1,1,0,1
2,104,1.0,1.0,1,1,1,1,1
5,104,0.0,0.0,1,1,1,0,1
6,104,1.0,1.0,1,1,1,1,1
1,105,0.0,0.0,1,1,0,1,0
2,105,1.0,1.0,1,1,1,1,1
5,105,0.0,0.0,1,1,0,1,0
6,105,0.0,0.0,1,1,1,1,1
1,106,1.0,1.0,1,0,1,0,0
2,106,1.0,1.0,1,1,1,1,1
5,106,0.0,0.0,1,0,1,0,0
6,106,1.0,1.0,1,1,1,1,1
1,107,0.0,0.0,0,1,0,0,0
2,107,1.0,1.0,1,1,1,1,1
5,107,0.0,0.0,0,1,0,0,0
6,107,0.0,0.0,1,1,1,1,0
1,108,1.0,1.0,1,0,0,0,1
2,108,1.0,1.0,1,1,1,1,1
5,108,1.0,1.0,1,0,0,0,0
6,108,1.0,1.0,1,1,1,0,1
1,109,1.0,1.0,0,0,0,1,0
2,109,1.0,1.0,1,1,1,1,1
5,109,0.0,0.0,0,0,0,0,0
6,109,1.0,1.0,1,1,0,1,0
1,110,1.0,1.0,0,0,1,0,1
2,110,1.0,1.0,1,1,1,1,1
5,110,1.0,1.0,0,0,0,0,1
6,110,0.0,0.0,1,0,1,0,1
1,111,0.0,0.0,0,1,0,1,1
2,111,1.0,1.0,1,1,1,1,1
5,111,0.0,0.0,0,0,0,1,0
6,111,1.0,1.0,0,1,0,1,1
1,112,1.0,1.0,1,0,1,1,1
2,112,0.0,0.0,1,1,1,1,1
5,112,0.0,0.0,0,0,1,0,1
6,112,1.0,1.0,1,0,1,1,0
1,113,0.0,0.0,0,1,1,1,0
2,113,1.0,1.0,1,1,1,1,1
5,113,0.0,0.0,0,1,0,1,0
6,113,1.0,1.0,0,1,1,0,1
1,114,1.0,1.0,1,1,1,0,1
2,114,1.0,1.0,1,1,1,1,0
5,114,0.0,0.0,1,0,1,0,0
6,114,1.0,1.0,1,1,0,1,1
1,115,1.0,1.0,1,1,0,1,0
2,115,1.0,1.0,1,1,1,0,1
5,115,0.0,0.0,0,1,0,0,0
6,115,1.0,1.0,1,0,1,1,1
1,116,1.0,1.0,1,0,1,0,1
2,116,1.0,1.0,1,1,0,1,1
5,116,0.0,0.0,1,0,0,0,0
6,116,1.0,1.0,0,1,1,1,1
1,117,1.0,1.0,0,1,0,1,1
2,117,1.0,1.0,1,0,1,1,1
5,117,1.0,1.0,0,0,0,0,0
6,117,1.0,1.0,1,1,1,1,1
1,118,1.0,1.0,1,0,1,1,1
2,118,1.0,1.0,0,1,1,1,1
5,118,1.0,1.0,0,0,0,0,0
6,118,1.0,1.0,1,1,1,1,1
1,119,1.0,1.0,0,1,1,1,1
2,119,1.0,1.0,1,1,1,1,1
5,119,1.0,1.0,0,0,0,0,1
6,119,1.0,1.0,1,1,1,1,1
1,120,1.0,1.0,1,1,1,1,1
2,120,0.0,0.0,1,1,1,1,1
5,120,0.0,0.0,0,0,0,1,1
6,120,1.0,1.0,1,1,1,1,1
1,121,1.0,1.0,1,1,1,1,1
2,121,0.0,0.0,1,1,1,1,1
5,121,1.0,1.0,0,0,1,1,1
6,121,1.0,1.0,1,1,1,1,1
1,122,1.0,1.0,1,1,1,1,1
2,122,1.0,1.0,1,1,1,1,0
5,122,1.0,1.0,0,1,1,1,0
6,122,1.0,1.0,1,1,1,1,1
1,123,0.0,0.0,1,1,1,1,1
2,123,1.0,1.0,1,1,1,0,0
5,123,0.0,0.0,1,1,1,0,1
6,123,1.0,1.0,1,1,1,1,1
1,124,0.0,0.0,1,1,1,1,1
2,124,1.0,1.0,1,1,0,0,1
5,124,0.0,0.0,1,1,0,1,1
6,124,1.0,1.0,1,1,1,1,1
1,125,0.0,0.0,1,1,1,1,0
2,125,1.0,1.0,1,0,0,1,1
5,125,0.0,0.0,1,0,1,1,0
6,125,1.0,1.0,1,1,1,1,1
1,126,1.0,1.0,1,1,1,0,0
2,126,0.0,0.0,0,0,1,1,1
5,126,0.0,0.0,0,1,1,0,0
6,126,1.0,1.0,1,1,1,1,1
1,127,1.0,1.0,1,1,0,0,0
2,127,1.0,1.0,0,1,1,1,1
5,127,0.0,0.0,1,1,0,0,0
6,127,1.0,1.0,1,1,1,1,1
1,128,1.0,1.0,1,0,0,0,1
2,128,0.0,0.0,1,1,1,1,0
5,128,0.0,0.0,1,0,0,0,0
6,128,1.0,1.0,1,1,1,1,1
1,129,0.0,0.0,0,0,0,1,1
2,129,0.0,0.0,1,1,1,0,1
5,129,1.0,1.0,0,0,0,0,0
6,129,1.0,1.0,1,1,1,1,1
1,130,0.0,0.0,0,0,1,1,1
2,130,1.0,1.0,1,1,0,1,0
5,130,0.0,0.0,0,0,0,0,0
6,130,0.0,0.0,1,1,1,1,1
1,131,1.0,1.0,0,1,1,1,0
2,131,1.0,1.0,1,0,1,0,0
5,131,1.0,1.0,0,0,0,0,1
6,131,1.0,1.0,1,1,1,1,1
1,132,1.0,1.0,1,1,1,0,0
2,132,1.0,1.0,0,1,0,0,1
5,132,0.0,0.0,0,0,0,1,0
6,132,1.0,1.0,1,1,1,1,0
1,133,1.0,1.0,1,1,0,0,1
2,133,1.0,1.0,1,0,0,1,1
5,133,1.0,1.0,0,0,1,0,1
6,133,1.0,1.0,1,1,1,0,1
1,134,1.0,1.0,1,0,0,1,1
2,134,1.0,1.0,0,0,1,1,1
5,134,0.0,0.0,0,1,0,1,0
6,134,1.0,1.0,1,1,0,1,1
1,135,0.0,0.0,0,0,1,1,1
2,135,1.0,1.0,0,1,1,1,1
5,135,1.0,1.0,1,0,1,0,1
6,135,1.0,1.0,1,0,1,1,1
1,136,1.0,1.0,0,1,1,1,1
2,136,1.0,1.0,1,1,1,1,1
5,136,0.0,0.0,0,1,0,1,0
6,136,1.0,1.0,0,1,1,1,1
1,137,1.0,1.0,1,1,1,1,0
2,137,1.0,1.0,1,1,1,1,1
5,137,0.0,0.0,1,0,1,0,1
6,137,1.0,1.0,1,1,1,1,1
1,138,0.0,0.0,1,1,1,0,1
2,138,0.0,0.0,1,1,1,1,1
