spatial id,temporal id,Target (normal),Normal target,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
3,464,1.0,1.0,0,0,0,1,1,1,1,0
3,465,0.0,0.0,0,0,1,1,1,1,0,1
3,466,0.0,0.0,0,1,1,1,1,0,1,0
3,467,1.0,1.0,1,1,1,1,0,1,0,1
3,468,1.0,1.0,1,1,1,0,1,0,1,0
3,469,0.0,0.0,1,1,0,1,0,1,0,1
3,470,0.0,0.0,1,0,1,0,1,0,1,1
3,471,0.0,0.0,0,1,0,1,0,1,1,1
3,472,0.0,0.0,1,0,1,0,1,1,1,0
3,473,1.0,1.0,0,1,0,1,1,1,0,1
3,474,1.0,1.0,1,0,1,1,1,0,1,0
3,475,0.0,0.0,0,1,1,1,0,1,0,0
3,476,1.0,1.0,1,1,1,0,1,0,0,1
3,477,0.0,0.0,1,1,0,1,0,0,1,0
3,478,0.0,0.0,1,0,1,0,0,1,0,0
3,479,1.0,1.0,0,1,0,0,1,0,0,1
3,480,0.0,0.0,1,0,0,1,0,0,1,1
3,481,1.0,1.0,0,0,1,0,0,1,1,0
3,482,1.0,1.0,0,1,0,0,1,1,0,0
3,483,0.0,0.0,1,0,0,1,1,0,0,0
3,484,0.0,0.0,0,0,1,1,0,0,0,0
3,485,0.0,0.0,0,1,1,0,0,0,0,1
3,486,1.0,1.0,1,1,0,0,0,0,1,1
3,487,0.0,0.0,1,0,0,0,0,1,1,0
3,488,0.0,0.0,0,0,0,0,1,1,0,1
3,489,1.0,1.0,0,0,0,1,1,0,1,0
3,490,0.0,0.0,0,0,1,1,0,1,0,0
3,491,0.0,0.0,0,1,1,0,1,0,0,1
3,492,1.0,1.0,1,1,0,1,0,0,1,0
3,493,0.0,0.0,1,0,1,0,0,1,0,1
3,494,1.0,1.0,0,1,0,0,1,0,1,1
3,495,1.0,1.0,1,0,0,1,0,1,1,0
