spatial id,temporal id,Target (normal),Normal target,occurrence t-9,occurrence t-8,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
1,89,1.0,1.0,1,1,0,0,1,1,1,0,1,0
2,89,1.0,1.0,0,0,1,1,1,1,1,1,1,1
5,89,1.0,1.0,1,0,1,1,1,1,1,0,1,0
6,89,1.0,1.0,1,1,1,1,1,1,1,1,1,0
1,90,0.0,0.0,1,0,0,1,1,1,0,1,0,0
2,90,0.0,0.0,0,1,1,1,1,1,1,1,1,1
5,90,0.0,0.0,0,1,1,1,1,1,0,1,0,1
6,90,1.0,1.0,1,1,1,1,1,1,1,1,0,0
1,91,1.0,1.0,0,0,1,1,1,0,1,0,0,0
2,91,1.0,1.0,1,1,1,1,1,1,1,1,1,1
5,91,1.0,1.0,1,1,1,1,1,0,1,0,1,0
6,91,1.0,1.0,1,1,1,1,1,1,1,0,0,1
1,92,1.0,1.0,0,1,1,1,0,1,0,0,0,0
2,92,1.0,1.0,1,1,1,1,1,1,1,1,1,1
5,92,1.0,1.0,1,1,1,1,0,1,0,1,0,0
6,92,1.0,1.0,1,1,1,1,1,1,0,0,1,1
1,93,1.0,1.0,1,1,1,0,1,0,0,0,0,0
2,93,1.0,1.0,1,1,1,1,1,1,1,1,1,0
5,93,1.0,1.0,1,1,1,0,1,0,1,0,0,1
6,93,1.0,1.0,1,1,1,1,1,0,0,1,1,1
1,94,0.0,0.0,1,1,0,1,0,0,0,0,0,1
2,94,1.0,1.0,1,1,1,1,1,1,1,1,0,1
5,94,0.0,0.0,1,1,0,1,0,1,0,0,1,0
6,94,1.0,1.0,1,1,1,1,0,0,1,1,1,1
1,95,1.0,1.0,1,0,1,0,0,0,0,0,1,1
2,95,1.0,1.0,1,1,1,1,1,1,1,0,1,1
5,95,1.0,1.0,1,0,1,0,1,0,0,1,0,0
6,95,1.0,1.0,1,1,1,0,0,1,1,1,1,1
1,96,0.0,0.0,0,1,0,0,0,0,0,1,1,1
2,96,1.0,1.0,1,1,1,1,1,1,0,1,1,0
5,96,0.0,0.0,0,1,0,1,0,0,1,0,0,1
6,96,1.0,1.0,1,1,0,0,1,1,1,1,1,1
1,97,0.0,0.0,1,0,0,0,0,0,1,1,1,0
2,97,1.0,1.0,1,1,1,1,1,0,1,1,0,1
5,97,0.0,0.0,1,0,1,0,0,1,0,0,1,0
6,97,1.0,1.0,1,0,0,1,1,1,1,1,1,0
1,98,0.0,0.0,0,0,0,0,0,1,1,1,0,1
2,98,1.0,1.0,1,1,1,1,0,1,1,0,1,1
5,98,0.0,0.0,0,1,0,0,1,0,0,1,0,1
6,98,0.0,0.0,0,0,1,1,1,1,1,1,0,1
1,99,1.0,1.0,0,0,0,0,1,1,1,0,1,0
2,99,1.0,1.0,1,1,1,0,1,1,0,1,1,0
5,99,0.0,0.0,1,0,0,1,0,0,1,0,1,0
6,99,1.0,1.0,0,1,1,1,1,1,1,0,1,1
1,100,0.0,0.0,0,0,0,1,1,1,0,1,0,1
2,100,1.0,1.0,1,1,0,1,1,0,1,1,0,1
5,100,0.0,0.0,0,0,1,0,0,1,0,1,0,1
6,100,0.0,0.0,1,1,1,1,1,1,0,1,1,1
1,101,1.0,1.0,0,0,1,1,1,0,1,0,1,1
2,101,1.0,1.0,1,0,1,1,0,1,1,0,1,1
5,101,1.0,1.0,0,1,0,0,1,0,1,0,1,1
6,101,1.0,1.0,1,1,1,1,1,0,1,1,1,1
1,102,1.0,1.0,0,1,1,1,0,1,0,1,1,1
2,102,1.0,1.0,0,1,1,0,1,1,0,1,1,1
5,102,0.0,0.0,1,0,0,1,0,1,0,1,1,1
6,102,1.0,1.0,1,1,1,1,0,1,1,1,1,1
1,103,1.0,1.0,1,1,1,0,1,0,1,1,1,0
2,103,1.0,1.0,1,1,0,1,1,0,1,1,1,1
5,103,1.0,1.0,0,0,1,0,1,0,1,1,1,0
6,103,0.0,0.0,1,1,1,0,1,1,1,1,1,1
1,104,0.0,0.0,1,1,0,1,0,1,1,1,0,1
2,104,1.0,1.0,1,0,1,1,0,1,1,1,1,1
5,104,0.0,0.0,0,1,0,1,0,1,1,1,0,1
6,104,1.0,1.0,1,1,0,1,1,1,1,1,1,1
1,105,1.0,1.0,1,0,1,0,1,1,1,0,1,0
2,105,0.0,0.0,0,1,1,0,1,1,1,1,1,1
5,105,0.0,0.0,1,0,1,0,1,1,1,0,1,0
6,105,1.0,1.0,1,0,1,1,1,1,1,1,1,1
1,106,0.0,0.0,0,1,0,1,1,1,0,1,0,0
2,106,1.0,1.0,1,1,0,1,1,1,1,1,1,1
5,106,0.0,0.0,0,1,0,1,1,1,0,1,0,0
6,106,1.0,1.0,0,1,1,1,1,1,1,1,1,1
1,107,1.0,1.0,1,0,1,1,1,0,1,0,0,0
2,107,1.0,1.0,1,0,1,1,1,1,1,1,1,1
5,107,0.0,0.0,1,0,1,1,1,0,1,0,0,0
6,107,1.0,1.0,1,1,1,1,1,1,1,1,1,0
1,108,1.0,1.0,0,1,1,1,0,1,0,0,0,1
2,108,1.0,1.0,0,1,1,1,1,1,1,1,1,1
5,108,0.0,0.0,0,1,1,1,0,1,0,0,0,0
6,108,1.0,1.0,1,1,1,1,1,1,1,1,0,1
1,109,1.0,1.0,1,1,1,0,1,0,0,0,1,0
2,109,1.0,1.0,1,1,1,1,1,1,1,1,1,1
5,109,0.0,0.0,1,1,1,0,1,0,0,0,0,0
6,109,1.0,1.0,1,1,1,1,1,1,1,0,1,0
1,110,1.0,1.0,1,1,0,1,0,0,0,1,0,1
2,110,1.0,1.0,1,1,1,1,1,1,1,1,1,1
5,110,1.0,1.0,1,1,0,1,0,0,0,0,0,1
6,110,1.0,1.0,1,1,1,1,1,1,0,1,0,1
1,111,1.0,1.0,1,0,1,0,0,0,1,0,1,1
2,111,1.0,1.0,1,1,1,1,1,1,1,1,1,1
5,111,1.0,1.0,1,0,1,0,0,0,0,0,1,0
6,111,1.0,1.0,1,1,1,1,1,0,1,0,1,1
1,112,1.0,1.0,0,1,0,0,0,1,0,1,1,1
2,112,1.0,1.0,1,1,1,1,1,1,1,1,1,1
5,112,1.0,1.0,0,1,0,0,0,0,0,1,0,1
6,112,1.0,1.0,1,1,1,1,0,1,0,1,1,0
1,113,1.0,1.0,1,0,0,0,1,0,1,1,1,0
2,113,0.0,0.0,1,1,1,1,1,1,1,1,1,1
5,113,0.0,0.0,1,0,0,0,0,0,1,0,1,0
6,113,1.0,1.0,1,1,1,0,1,0,1,1,0,1
1,114,1.0,1.0,0,0,0,1,0,1,1,1,0,1
2,114,0.0,0.0,1,1,1,1,1,1,1,1,1,0
5,114,1.0,1.0,0,0,0,0,0,1,0,1,0,0
6,114,1.0,1.0,1,1,0,1,0,1,1,0,1,1
1,115,1.0,1.0,0,0,1,0,1,1,1,0,1,0
2,115,1.0,1.0,1,1,1,1,1,1,1,1,0,1
