spatial id,temporal id,Target (normal),Normal target,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
1,36,0.0,0.0,0,0,1,1,1,0,1
2,36,0.0,0.0,0,0,0,1,0,0,0
3,36,0.0,0.0,1,0,0,0,0,0,0
4,36,0.0,0.0,0,0,0,0,0,0,0
5,36,0.0,0.0,0,0,0,1,0,1,1
6,36,1.0,1.0,0,0,0,1,0,1,0
7,36,0.0,0.0,0,0,0,0,0,0,0
8,36,0.0,0.0,0,0,0,0,0,0,0
9,36,0.0,0.0,0,0,0,0,0,0,0
1,37,1.0,1.0,0,1,1,1,0,1,0
2,37,0.0,0.0,0,0,1,0,0,0,0
3,37,0.0,0.0,0,0,0,0,0,0,0
4,37,0.0,0.0,0,0,0,0,0,0,0
5,37,1.0,1.0,0,0,1,0,1,1,0
6,37,0.0,0.0,0,0,1,0,1,0,1
7,37,0.0,0.0,0,0,0,0,0,0,0
8,37,0.0,0.0,0,0,0,0,0,0,0
9,37,0.0,0.0,0,0,0,0,0,0,0
1,38,1.0,1.0,1,1,1,0,1,0,1
2,38,0.0,0.0,0,1,0,0,0,0,0
3,38,0.0,0.0,0,0,0,0,0,0,0
4,38,0.0,0.0,0,0,0,0,0,0,0
5,38,0.0,0.0,0,1,0,1,1,0,0
6,38,0.0,0.0,0,1,0,1,0,1,1
7,38,0.0,0.0,0,0,0,0,0,0,0
8,38,0.0,0.0,0,0,0,0,0,0,0
9,38,0.0,0.0,0,0,0,0,0,0,0
1,39,1.0,1.0,1,1,0,1,0,1,0
2,39,0.0,0.0,1,0,0,0,0,0,0
3,39,0.0,0.0,0,0,0,0,0,0,0
4,39,0.0,0.0,0,0,0,0,0,0,0
5,39,1.0,1.0,1,0,1,1,0,0,0
6,39,0.0,0.0,1,0,1,0,1,1,0
7,39,0.0,0.0,0,0,0,0,0,0,0
8,39,0.0,0.0,0,0,0,0,0,0,0
9,39,0.0,0.0,0,0,0,0,0,0,0
1,40,0.0,0.0,1,0,1,0,1,0,0
2,40,0.0,0.0,0,0,0,0,0,0,0
3,40,0.0,0.0,0,0,0,0,0,0,0
4,40,0.0,0.0,0,0,0,0,0,0,0
5,40,0.0,0.0,0,1,1,0,0,0,1
6,40,0.0,0.0,0,1,0,1,1,0,1
7,40,0.0,0.0,0,0,0,0,0,0,0
8,40,1.0,1.0,0,0,0,0,0,0,0
9,40,0.0,0.0,0,0,0,0,0,0,0
1,41,0.0,0.0,0,1,0,1,0,0,0
2,41,0.0,0.0,0,0,0,0,0,0,0
3,41,0.0,0.0,0,0,0,0,0,0,1
4,41,0.0,0.0,0,0,0,0,0,0,0
5,41,0.0,0.0,1,1,0,0,0,1,1
6,41,0.0,0.0,1,0,1,1,0,1,1
7,41,0.0,0.0,0,0,0,0,0,0,0
8,41,0.0,0.0,0,0,0,0,0,0,0
9,41,0.0,0.0,0,0,0,0,0,0,0
1,42,0.0,0.0,1,0,1,0,0,0,1
2,42,0.0,0.0,0,0,0,0,0,0,1
3,42,0.0,0.0,0,0,0,0,0,1,0
4,42,0.0,0.0,0,0,0,0,0,0,0
5,42,0.0,0.0,1,0,0,0,1,1,1
6,42,1.0,1.0,0,1,1,0,1,1,1
7,42,0.0,0.0,0,0,0,0,0,0,0
8,42,0.0,0.0,0,0,0,0,0,0,0
9,42,0.0,0.0,0,0,0,0,0,0,1
1,43,1.0,1.0,0,1,0,0,0,1,0
2,43,0.0,0.0,0,0,0,0,0,1,0
3,43,0.0,0.0,0,0,0,0,1,0,0
4,43,0.0,0.0,0,0,0,0,0,0,0
5,43,1.0,1.0,0,0,0,1,1,1,0
6,43,1.0,1.0,1,1,0,1,1,1,0
7,43,0.0,0.0,0,0,0,0,0,0,0
8,43,0.0,0.0,0,0,0,0,0,0,0
9,43,0.0,0.0,0,0,0,0,0,1,0
1,44,0.0,0.0,1,0,0,0,1,0,0
2,44,0.0,0.0,0,0,0,0,1,0,0
3,44,0.0,0.0,0,0,0,1,0,0,0
4,44,0.0,0.0,0,0,0,0,0,0,0
5,44,1.0,1.0,0,0,1,1,1,0,0
6,44,0.0,0.0,1,0,1,1,1,0,1
7,44,0.0,0.0,0,0,0,0,0,0,0
8,44,0.0,0.0,0,0,0,0,0,0,0
9,44,0.0,0.0,0,0,0,0,1,0,0
1,45,0.0,0.0,0,0,0,1,0,0,1
2,45,1.0,1.0,0,0,0,1,0,0,0
3,45,0.0,0.0,0,0,1,0,0,0,0
