spatial id,temporal id,Target (normal),Normal target,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
9,49,0.0,0.0,0,0,0,0,0,0
4,50,0.0,0.0,0,0,0,0,0,0
7,50,0.0,0.0,0,0,0,0,0,0
8,50,0.0,0.0,0,0,0,0,0,0
9,50,0.0,0.0,0,0,0,0,0,0
4,51,0.0,0.0,0,0,0,0,0,0
7,51,0.0,0.0,0,0,0,0,0,0
8,51,0.0,0.0,0,0,0,0,0,1
9,51,0.0,0.0,0,0,0,0,0,0
4,52,0.0,0.0,0,0,0,0,0,0
7,52,0.0,0.0,0,0,0,0,0,0
8,52,0.0,0.0,0,0,0,0,1,0
9,52,0.0,0.0,0,0,0,0,0,0
4,53,0.0,0.0,0,0,0,0,0,0
7,53,0.0,0.0,0,0,0,0,0,0
8,53,0.0,0.0,0,0,0,1,0,0
9,53,0.0,0.0,0,0,0,0,0,0
4,54,0.0,0.0,0,0,0,0,0,0
7,54,1.0,1.0,0,0,0,0,0,0
8,54,0.0,0.0,0,0,1,0,0,0
9,54,1.0,1.0,0,0,0,0,0,0
4,55,0.0,0.0,0,0,0,0,0,0
7,55,0.0,0.0,0,0,0,0,0,0
8,55,0.0,0.0,0,1,0,0,0,0
9,55,0.0,0.0,0,0,0,0,0,0
4,56,0.0,0.0,0,0,0,0,0,0
7,56,0.0,0.0,0,0,0,0,0,0
8,56,0.0,0.0,1,0,0,0,0,0
9,56,0.0,0.0,0,0,0,0,0,0
4,57,0.0,0.0,0,0,0,0,0,0
7,57,0.0,0.0,0,0,0,0,0,1
8,57,0.0,0.0,0,0,0,0,0,0
9,57,0.0,0.0,0,0,0,0,0,1
4,58,0.0,0.0,0,0,0,0,0,0
7,58,0.0,0.0,0,0,0,0,1,0
8,58,0.0,0.0,0,0,0,0,0,0
9,58,0.0,0.0,0,0,0,0,1,0
4,59,0.0,0.0,0,0,0,0,0,0
7,59,0.0,0.0,0,0,0,1,0,0
8,59,0.0,0.0,0,0,0,0,0,0
9,59,0.0,0.0,0,0,0,1,0,0
4,60,0.0,0.0,0,0,0,0,0,0
7,60,0.0,0.0,0,0,1,0,0,0
8,60,0.0,0.0,0,0,0,0,0,0
9,60,0.0,0.0,0,0,1,0,0,0
4,61,0.0,0.0,0,0,0,0,0,0
7,61,0.0,0.0,0,1,0,0,0,0
8,61,0.0,0.0,0,0,0,0,0,0
9,61,0.0,0.0,0,1,0,0,0,0
4,62,0.0,0.0,0,0,0,0,0,0
7,62,0.0,0.0,1,0,0,0,0,0
8,62,0.0,0.0,0,0,0,0,0,0
9,62,0.0,0.0,1,0,0,0,0,0
4,63,0.0,0.0,0,0,0,0,0,0
7,63,0.0,0.0,0,0,0,0,0,0
8,63,0.0,0.0,0,0,0,0,0,0
9,63,0.0,0.0,0,0,0,0,0,0
4,64,0.0,0.0,0,0,0,0,0,0
7,64,0.0,0.0,0,0,0,0,0,0
8,64,0.0,0.0,0,0,0,0,0,0
9,64,0.0,0.0,0,0,0,0,0,0
4,65,0.0,0.0,0,0,0,0,0,0
7,65,0.0,0.0,0,0,0,0,0,0
8,65,0.0,0.0,0,0,0,0,0,0
9,65,0.0,0.0,0,0,0,0,0,0
4,66,0.0,0.0,0,0,0,0,0,0
7,66,0.0,0.0,0,0,0,0,0,0
8,66,0.0,0.0,0,0,0,0,0,0
9,66,0.0,0.0,0,0,0,0,0,0
4,67,0.0,0.0,0,0,0,0,0,0
7,67,0.0,0.0,0,0,0,0,0,0
8,67,0.0,0.0,0,0,0,0,0,0
9,67,0.0,0.0,0,0,0,0,0,0
4,68,1.0,1.0,0,0,0,0,0,0
7,68,0.0,0.0,0,0,0,0,0,0
8,68,0.0,0.0,0,0,0,0,0,0
9,68,0.0,0.0,0,0,0,0,0,0
4,69,0.0,0.0,0,0,0,0,0,0
7,69,0.0,0.0,0,0,0,0,0,0
8,69,0.0,0.0,0,0,0,0,0,0
9,69,0.0,0.0,0,0,0,0,0,0
4,70,0.0,0.0,0,0,0,0,0,0
7,70,0.0,0.0,0,0,0,0,0,0
8,70,0.0,0.0,0,0,0,0,0,0
9,70,0.0,0.0,0,0,0,0,0,0
4,71,0.0,0.0,0,0,0,0,0,1
7,71,0.0,0.0,0,0,0,0,0,0
8,71,0.0,0.0,0,0,0,0,0,0
9,71,0.0,0.0,0,0,0,0,0,0
4,72,0.0,0.0,0,0,0,0,1,0
7,72,0.0,0.0,0,0,0,0,0,0
8,72,0.0,0.0,0,0,0,0,0,0
9,72,0.0,0.0,0,0,0,0,0,0
4,73,1.0,1.0,0,0,0,1,0,0
7,73,0.0,0.0,0,0,0,0,0,0
8,73,0.0,0.0,0,0,0,0,0,0
9,73,0.0,0.0,0,0,0,0,0,0
4,74,0.0,0.0,0,0,1,0,0,0
7,74,0.0,0.0,0,0,0,0,0,0
8,74,0.0,0.0,0,0,0,0,0,0
9,74,0.0,0.0,0,0,0,0,0,0
4,75,1.0,1.0,0,1,0,0,0,0
7,75,0.0,0.0,0,0,0,0,0,0
8,75,0.0,0.0,0,0,0,0,0,0
9,75,0.0,0.0,0,0,0,0,0,0
4,76,0.0,0.0,1,0,0,0,0,1
7,76,0.0,0.0,0,0,0,0,0,0
8,76,0.0,0.0,0,0,0,0,0,0
9,76,0.0,0.0,0,0,0,0,0,0
4,77,0.0,0.0,0,0,0,0,1,0
7,77,0.0,0.0,0,0,0,0,0,0
8,77,0.0,0.0,0,0,0,0,0,0
9,77,0.0,0.0,0,0,0,0,0,0
4,78,1.0,1.0,0,0,0,1,0,1
7,78,0.0,0.0,0,0,0,0,0,0
8,78,0.0,0.0,0,0,0,0,0,0
9,78,0.0,0.0,0,0,0,0,0,0
4,79,0.0,0.0,0,0,1,0,1,0
7,79,0.0,0.0,0,0,0,0,0,0
8,79,0.0,0.0,0,0,0,0,0,0
9,79,0.0,0.0,0,0,0,0,0,0
4,80,0.0,0.0,0,1,0,1,0,0
7,80,0.0,0.0,0,0,0,0,0,0
8,80,0.0,0.0,0,0,0,0,0,0
9,80,1.0,1.0,0,0,0,0,0,0
4,81,0.0,0.0,1,0,1,0,0,1
7,81,0.0,0.0,0,0,0,0,0,0
8,81,0.0,0.0,0,0,0,0,0,0
9,81,0.0,0.0,0,0,0,0,0,0
4,82,1.0,1.0,0,1,0,0,1,0
7,82,0.0,0.0,0,0,0,0,0,0
8,82,0.0,0.0,0,0,0,0,0,0
9,82,0.0,0.0,0,0,0,0,0,0
4,83,0.0,0.0,1,0,0,1,0,0
7,83,0.0,0.0,0,0,0,0,0,0
8,83,0.0,0.0,0,0,0,0,0,0
9,83,0.0,0.0,0,0,0,0,0,1
4,84,0.0,0.0,0,0,1,0,0,0
7,84,1.0,1.0,0,0,0,0,0,0
8,84,0.0,0.0,0,0,0,0,0,0
9,84,0.0,0.0,0,0,0,0,1,0
4,85,0.0,0.0,0,1,0,0,0,1
7,85,0.0,0.0,0,0,0,0,0,0
8,85,0.0,0.0,0,0,0,0,0,0
9,85,0.0,0.0,0,0,0,1,0,0
4,86,0.0,0.0,1,0,0,0,1,0
7,86,0.0,0.0,0,0,0,0,0,0
8,86,0.0,0.0,0,0,0,0,0,0
